DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,BINARIO
2020-02-03 21:42:00,1.10563,1.10569,1.10556,1.10569,1.0
2020-02-03 21:47:00,1.10569,1.10575,1.10569,1.10573,0.5
2020-02-03 21:52:00,1.10573,1.1058,1.10573,1.10573,1.0
2020-02-03 21:57:00,1.10573,1.10587,1.10573,1.10581,1.0
2020-02-03 22:02:00,1.10582,1.10596,1.10582,1.10596,0.0
2020-02-03 22:07:00,1.10595,1.10596,1.10581,1.10576,0.5
2020-02-03 22:12:00,1.10575,1.10583,1.10574,1.10576,0.0
2020-02-03 22:17:00,1.10575,1.10575,1.10564,1.10564,1.0
2020-02-03 22:22:00,1.10564,1.10572,1.10564,1.10566,1.0
2020-02-03 22:27:00,1.10565,1.10578,1.10555,1.10574,0.0
2020-02-03 22:32:00,1.10575,1.10589,1.10568,1.10569,0.0
2020-02-03 22:37:00,1.10569,1.10578,1.10562,1.10567,1.0
2020-02-03 22:42:00,1.10567,1.10576,1.10567,1.10578,1.0
2020-02-03 22:47:00,1.10578,1.10578,1.1057,1.10584,0.0
2020-02-03 22:52:00,1.10584,1.10585,1.10578,1.10578,0.0
2020-02-03 22:57:00,1.10579,1.1058,1.10574,1.10574,1.0
2020-02-03 23:02:00,1.10575,1.10584,1.10575,1.10587,1.0
2020-02-03 23:07:00,1.10587,1.10593,1.10587,1.10592,1.0
2020-02-03 23:12:00,1.10593,1.10595,1.10593,1.10593,0.0
2020-02-03 23:17:00,1.10593,1.10593,1.10586,1.10588,1.0
2020-02-03 23:22:00,1.10588,1.10597,1.10588,1.10596,1.0
2020-02-03 23:27:00,1.10596,1.10602,1.10596,1.10597,1.0
2020-02-03 23:32:00,1.10601,1.10601,1.10594,1.10599,1.0
2020-02-03 23:37:00,1.10599,1.10609,1.10599,1.10608,0.0
2020-02-03 23:42:00,1.10607,1.10608,1.10603,1.10604,1.0
2020-02-03 23:47:00,1.10603,1.10609,1.10603,1.10607,0.0
2020-02-03 23:52:00,1.10607,1.10607,1.10603,1.10604,0.0
2020-02-03 23:57:00,1.10604,1.10604,1.10597,1.106,0.0
